路径,长度,危险系数
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,12.983,23.132
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,11.692,20.568
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 小寨村小区-> 大雁塔,11.623,15.701
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,18.014,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,17.946,19.046
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,15.455,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,15.387,18.450
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,16.416,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,15.410,22.785
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,15.594,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,18.153,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 陕西历史博物馆-> 大雁塔,12.164,23.132
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 小寨村小区-> 大雁塔,12.095,18.264
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,19.012,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,16.453,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,13.023,23.132
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,12.018,22.599
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 赛格购物中心-> 大雁塔,12.006,17.731
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 赛格购物中心-> 大雁塔,18.867,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,18.435,21.350
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 赛格购物中心-> 大雁塔,16.308,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,15.877,20.754
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 小寨村小区-> 大雁塔,16.213,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,16.124,22.785
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,16.169,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,18.728,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 赛格购物中心-> 大雁塔,12.878,23.132
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 小寨村小区-> 大雁塔,12.446,20.568
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 小寨村小区-> 大雁塔,18.671,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 小寨村小区-> 大雁塔,16.113,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 小寨村小区-> 大雁塔,12.821,23.132
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,12.732,22.599
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,11.441,20.035
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 陕西师范大学-> 大雁塔,10.814,15.168
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,16.725,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 大雁塔,16.713,19.046
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,17.439,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,16.148,21.350
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,15.521,16.483
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,15.069,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 大雁塔,15.058,18.450
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,15.783,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,14.492,20.754
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,13.865,15.887
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,16.986,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 大雁塔,16.359,18.450
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,17.084,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,13.986,21.710
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,13.975,16.842
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 大雁塔,18.041,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,16.848,20.754
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 大雁塔,17.425,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,15.041,21.710
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,13.750,19.146
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,17.628,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 赛格购物中心-> 大雁塔,17.616,19.046
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,18.342,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,17.051,21.350
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,16.424,16.483
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,19.544,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西师范大学-> 大雁塔,18.917,19.046
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,19.643,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,16.545,22.306
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,16.533,17.438
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 赛格购物中心-> 大雁塔,20.599,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,19.407,21.350
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 陕西师范大学-> 大雁塔,19.984,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,17.600,22.306
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,16.309,19.742
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,16.786,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,16.774,19.046
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,17.841,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,16.550,21.350
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,19.043,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,15.651,23.728
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 赛格购物中心-> 大雁塔,15.639,18.860
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,19.757,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,16.365,23.728
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,15.074,21.164
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,14.447,16.297
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,14.934,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,14.922,18.450
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,15.989,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,14.698,20.754
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,16.590,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,16.578,19.046
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,17.645,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,16.354,21.350
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,17.191,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 陕西历史博物馆-> 大雁塔,13.799,23.132
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 赛格购物中心-> 大雁塔,13.787,18.264
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 赛格购物中心-> 大雁塔,17.905,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 陕西历史博物馆-> 赛格购物中心-> 大雁塔,14.513,23.132
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,13.222,20.568
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 陕西师范大学-> 大雁塔,12.595,15.701
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,16.485,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,15.858,19.046
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,14.829,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西师范大学-> 大雁塔,14.202,18.450
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 陕西师范大学-> 大雁塔,17.185,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,14.087,21.710
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,15.170,23.318
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 紫薇永和坊-> 隋大兴唐长安城明德门遗址公园-> 陕西历史博物馆-> 大雁塔,16.826,23.914
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 陕西历史博物馆-> 大雁塔,13.694,23.132
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 陕西师范大学-> 大雁塔,13.067,18.264
西安交通大学（曲江校区）-> 曲江立交交汇点-> 三兆公墓-> 西安市曲江第一学校-> 大唐芙蓉园-> 小寨村小区-> 赛格购物中心-> 陕西历史博物馆-> 隋大兴唐长安城明德门遗址公园-> 紫薇永和坊-> 陕西师范大学-> 大雁塔,16.925,23.914
